word,pinyin,context
问心无愧,wèn xīn wú kuì,**问心无愧** 我**问心无愧**。 → У меня **чиста совесть**.
心旷神怡,xīn kuàng shén yí,**心旷神怡** 风景使人**心旷神怡**。 → Пейзаж даёт **душевный покой и радость**.
赏心悦目,shǎng xīn yuè mù,**赏心悦目** 这幅画**赏心悦目**。 → Эта картина **радует глаз**.
美轮美奂,měi lún měi huàn,**美轮美奂** 大楼**美轮美奂**。 → Здание **великолепно**.
富丽堂皇,fù lì táng huáng,**富丽堂皇** 宫殿**富丽堂皇**。 → Дворец **роскошен и величествен**.
五光十色,wǔ guāng shí sè,**五光十色** 灯光**五光十色**。 → Огни **всех цветов радуги**.
眼花缭乱,yǎn huā liáo luàn,**眼花缭乱** 商品多得让人**眼花缭乱**。 → От обилия товаров **рябит в глазах**.
琳琅满目,lín láng mǎn mù,**琳琅满目** 商店里商品**琳琅满目**。 → В магазине **изобилие** товаров.
应接不暇,yìng jiē bù xiá,"**应接不暇** 顾客多得**应接不暇**。 → Клиентов столько, что **не справиться**."
熙熙攘攘,xī xī rǎng rǎng,**熙熙攘攘** 街上**熙熙攘攘**。 → На улице **многолюдно**.
摩肩接踵,mó jiān jiē zhǒng,**摩肩接踵** 人群**摩肩接踵**。 → Толпа **плечом к плечу**.
一干二净,yī gān èr jìng,**一干二净** 他把饭吃得**一干二净**。 → Он съел всё **до последней крошки**.
一无所有,yī wú suǒ yǒu,**一无所有** 他**一无所有**。 → У него **ничего нет**.
